Keywords,Date and Time,Source,Event ID,Task Category
Audit Success,DD/MM/YYYY 3:30:38 PM,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		LAB\Henry.Butler
	Account Name:		henry.butler
	Account Domain:		LAB
	Logon ID:		0x3E7

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\henry.butler\AppData\Local\Google\Chrome\User Data\Default\Network\Cookies-journal
	Handle ID:		0xe44
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0xa04
	Process Name:		\Device\Mup\ws-1\File5\SuperSpecializedHighlyAdvancedMalwareBypasser2.exe
	Exit Status:	0x0"

Access Request Information:
	Accesses:		ReadData (or ListDirectory)
				
	Access Mask:		0x1"
Audit Success,DD/MM/YYYY 3:30:38 PM,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		LAB\Henry.Butler
	Account Name:		henry.butler
	Account Domain:		LAB
	Logon ID:		0x3E7

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\henry.butler\AppData\Local\Google\Chrome\User Data\Default\Network\Cookies
	Handle ID:		0xca0
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0xa04
	Process Name:		\Device\Mup\ws-1\File5\SuperSpecializedHighlyAdvancedMalwareBypasser2.exe
	Exit Status:	0x0"

Access Request Information:
	Accesses:		ReadData (or ListDirectory)
				
	Access Mask:		0x1"
Audit Success,DD/MM/YYYY 3:30:38 PM,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\henry.butler\AppData\Local\Google\Chrome\User Data\Default\Extensions\nmmhkkegccagdldgiimedpiccmgmieda\1.0.0.6_0\_locales\zh_CN
	Handle ID:		0xca0
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0xa04
	Process Name:		C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23050.5-0\MsMpEng.exe

Access Request Information:
	Accesses:		ReadData (or ListDirectory)
				
	Access Mask:		0x1"
Audit Success,DD/MM/YYYY 3:30:38 PM,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\henry.butler\AppData\Local\Google\Chrome\User Data\Default\Extensions\nmmhkkegccagdldgiimedpiccmgmieda\1.0.0.6_0\_locales\vi
	Handle ID:		0xca0
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0xa04
	Process Name:		C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23050.5-0\MsMpEng.exe

Access Request Information:
	Accesses:		ReadData (or ListDirectory)
				
	Access Mask:		0x1"
