Level,Date and Time,Source,Event ID,Task Category
Information,DD/MM/YYYY 5:18:09 PM,Microsoft-Windows-Security-Auditing,4688,Process Creation,"A new process has been created.

Creator Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Subject:
	Security ID:		NULL SID
	Account Name:		itadmin
	Account Domain:		LAB
	Logon ID:		0x2745E2FC

Process Information:
	New Process ID:		0x23e4
	New Process Name:	C:\Windows\System32\BackgroundTransferHost.exe
	Token Elevation Type:	%%1936
	Mandatory Label:		Mandatory Label\Low Mandatory Level
	Creator Process ID:	0x33c
	Creator Process Name:	C:\Windows\System32\svchost.exe
	Process Command Line:	

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator."
Information,DD/MM/YYYY 5:18:08 PM,Microsoft-Windows-Security-Auditing,4689,Process Termination,"A process has exited.

Subject:
	Security ID:		LAB\itadmin
	Account Name:		itadmin
	Account Domain:		LAB
	Logon ID:		0x2745E2FC

Process Information:
	Process ID:	0x2ca8
	Process Name:	C:\Windows\System32\BackgroundTransferHost.exe
	Exit Status:	0x1"
Information,DD/MM/YYYY 5:18:08 PM,Microsoft-Windows-Security-Auditing,4688,Process Creation,"A new process has been created.

Creator Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Subject:
	Security ID:		NULL SID
	Account Name:		itadmin
	Account Domain:		LAB
	Logon ID:		0x2745E2FC

Process Information:
	New Process ID:		0x2ca8
	New Process Name:	C:\Windows\System32\BackgroundTransferHost.exe
	Token Elevation Type:	%%1936
	Mandatory Label:		Mandatory Label\Low Mandatory Level
	Creator Process ID:	0x33c
	Creator Process Name:	C:\Windows\System32\svchost.exe
	Process Command Line:	

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator."
Information,DD/MM/YYYY 5:18:08 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		LAB\itadmin
	Account Name:		itadmin
	Account Domain:		LAB
	Logon ID:		0x2745E2FC

User:
	Security ID:		WS-3\ITAdmin
	Account Name:		ITAdmin
	Account Domain:		WS-3

Process Information:
	Process ID:		0x2c08
	Process Name:		C:\Windows\System32\mmc.exe"
Information,DD/MM/YYYY 5:18:06 PM,Microsoft-Windows-Security-Auditing,4688,Process Creation,"A new process has been created.

Creator Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Subject:
	Security ID:		NULL SID
	Account Name:		itadmin
	Account Domain:		LAB
	Logon ID:		0x2745E2FC

Process Information:
	New Process ID:		0x269c
	New Process Name:	C:\Windows\System32\backgroundTaskHost.exe
	Token Elevation Type:	%%1936
	Mandatory Label:		Mandatory Label\Low Mandatory Level
	Creator Process ID:	0x33c
	Creator Process Name:	C:\Windows\System32\svchost.exe
	Process Command Line:	

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator."
Information,DD/MM/YYYY 5:18:02 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		LAB\itadmin
	Account Name:		itadmin
	Account Domain:		LAB
	Logon ID:		0x2745E2FC

User:
	Security ID:		WS-3\ITAdmin
	Account Name:		ITAdmin
	Account Domain:		WS-3

Process Information:
	Process ID:		0x2c08
	Process Name:		C:\Windows\System32\mmc.exe"
Information,DD/MM/YYYY 5:17:53 PM,Microsoft-Windows-Security-Auditing,4689,Process Termination,"A process has exited.

Subject:
	Security ID:		LAB\itadmin
	Account Name:		itadmin
	Account Domain:		LAB
	Logon ID:		0x2745E2FC

Process Information:
	Process ID:	0xdf8
	Process Name:	C:\Windows\System32\dllhost.exe
	Exit Status:	0x0"
Information,DD/MM/YYYY 5:17:52 PM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		LAB\itadmin
	Account Name:		itadmin
	Account Domain:		LAB
	Logon ID:		0x2745E2FC

Target Account:
	Security ID:		NULL SID
	Account Name:		itadmin
	Account Domain:		LAB
	Logon ID:		0x2745E2FC

Process Information:
	Process ID:		0x2c08
	Process Name:		C:\Windows\System32\mmc.exe

Enabled Privileges:
			SeSecurityPrivilege

Disabled Privileges:
			-"
Information,DD/MM/YYYY 5:17:52 PM,Microsoft-Windows-Security-Auditing,4689,Process Termination,"A process has exited.

Subject:
	Security ID:		LAB\itadmin
	Account Name:		itadmin
	Account Domain:		LAB
	Logon ID:		0x2745E2FC

Process Information:
	Process ID:	0x25d0
	Process Name:	C:\Windows\System32\eventvwr.exe
	Exit Status:	0x0"
Information,DD/MM/YYYY 5:17:52 PM,Microsoft-Windows-Security-Auditing,4688,Process Creation,"A new process has been created.

Creator Subject:
	Security ID:		LAB\itadmin
	Account Name:		itadmin
	Account Domain:		LAB
	Logon ID:		0x2745E2FC

Target Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x2c08
	New Process Name:	C:\Windows\System32\mmc.exe
	Token Elevation Type:	%%1936
	Mandatory Label:		Mandatory Label\High Mandatory Level
	Creator Process ID:	0x25d0
	Creator Process Name:	C:\Windows\System32\eventvwr.exe
	Process Command Line:	

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator."
