2023-01-26 14:26:10	Local7.Debug	127.0.0.1	Kiwi Syslog Server - Test message number 0001
2023-01-26 14:49:44	Local4.Notice	192.168.1.1	%ASA-5-111008: User 'cisco' executed the 'logging host inside 192.168.1.6' command.
2023-01-26 14:49:44	Local4.Notice	192.168.1.1	%ASA-5-111010: User 'cisco', running 'N/A' from IP 192.168.1.6, executed 'logging host inside 192.168.1.6'
2023-01-26 14:49:44	Local4.Info	192.168.1.1	%ASA-6-302014: Teardown TCP connection 287866 for inside_1:192.168.1.6/64788 to identity:192.168.1.1/443 duration 0:00:00 bytes 784 TCP Reset-O
2023-01-26 14:49:44	Local4.Info	192.168.1.1	%ASA-6-106015: Deny TCP (no connection) from 192.168.1.6/64788 to 192.168.1.1/443 flags FIN ACK  on interface inside_1
2023-01-26 14:49:44	Local4.Debug	192.168.1.1	%ASA-7-710005: TCP request discarded from 192.168.1.6/64788 to inside_1:192.168.1.1/443
2023-01-26 14:49:44	Local4.Info	192.168.1.1	%ASA-6-302021: Teardown ICMP connection for faddr 192.168.1.7/0 gaddr 192.168.1.1/0 laddr 192.168.1.1/0 type 3 code 3 
2023-01-26 14:49:44	Local4.Info	192.168.1.1	%ASA-6-725007: SSL session with client inside_1:192.168.1.6/64788 to 192.168.1.1/443 terminated
2023-01-26 14:49:44	Local4.Notice	192.168.1.1	%ASA-5-321001: Resource 'conns' limit of 20000 reached for system
2023-01-26 14:49:44	Local4.Info	192.168.1.1	%ASA-6-305011: Built dynamic TCP translation from inside_1:192.168.1.6/64789 to outside:24.230.56.6/64789
2023-01-26 14:49:44	Local4.Notice	192.168.1.1	%ASA-5-321001: Resource 'conns' limit of 20000 reached for system
2023-01-26 14:49:44	Local4.Info	192.168.1.1	%ASA-6-305011: Built dynamic UDP translation from inside_3:192.168.1.7/62871 to outside:24.230.56.6/62871
2023-01-26 14:49:44	Local4.Notice	192.168.1.1	%ASA-5-321001: Resource 'conns' limit of 20000 reached for system
2023-01-26 14:49:44	Local4.Notice	192.168.1.1	%ASA-5-321001: Resource 'conns' limit of 20000 reached for system
2023-01-26 14:49:45	Local4.Notice	192.168.1.1	%ASA-5-321001: Resource 'conns' limit of 20000 reached for system
2023-01-26 14:49:45	Local4.Info	192.168.1.1	%ASA-6-305012: Teardown dynamic TCP translation from inside_1:192.168.1.6/64774 to outside:24.230.56.6/64774 duration 0:00:30
2023-01-26 14:49:45	Local4.Notice	192.168.1.1	%ASA-5-321001: Resource 'conns' limit of 20000 reached for system
2023-01-26 14:49:45	Local4.Notice	192.168.1.1	%ASA-5-321001: Resource 'conns' limit of 20000 reached for system
2023-01-26 14:49:46	Local4.Notice	192.168.1.1	%ASA-5-321001: Resource 'conns' limit of 20000 reached for system
2023-01-26 14:49:46	Local4.Debug	192.168.1.1	%ASA-7-710005: TCP request discarded from 46.101.77.129/50389 to outside:24.230.56.6/2096
2023-01-26 14:49:46	Local4.Notice	192.168.1.1	%ASA-5-321001: Resource 'conns' limit of 20000 reached for system
2023-01-26 14:49:46	Local4.Info	192.168.1.1	%ASA-6-305011: Built dynamic TCP translation from inside_1:192.168.1.6/64790 to outside:24.230.56.6/64790
2023-01-26 14:49:46	Local4.Notice	192.168.1.1	%ASA-5-321001: Resource 'conns' limit of 20000 reached for system
2023-01-26 14:49:47	Local4.Notice	192.168.1.1	%ASA-5-321001: Resource 'conns' limit of 20000 reached for system
2023-01-26 14:49:47	Local4.Info	192.168.1.1	%ASA-6-305012: Teardown dynamic TCP translation from inside_1:192.168.1.6/64775 to outside:24.230.56.6/64775 duration 0:00:30
